Population_Growth_Rate_(percentage),Real_GDP_per_Capita_USD,Median_Age,Total_Fertility_Rate,Expected_Years_of_Schooling_(years),Youth_Unemployment_Rate_percent,Country,Real_GDP_per_Capita_USD_original,Cluster
2.184,7.3783837129967145,19.2,3.71,9.064124575,10.8,Sierra Leone,1600.0,1
0.807,11.571203807011969,38.9,1.17,16.74227905,9.1,Singapore,106000.0,3
1.436,10.471666571132038,41.1,1.98,13.33577728,16.5,Sint Maarten (Dutch part),35300.0,3
0.055,10.370392636243981,42.5,1.6,14.94684982,21.5,Slovakia,31900.0,3
0.078,10.596659732783579,45.9,1.6,17.47717094,13.9,Slovenia,40000.0,3
2.383,7.783640596221253,24.8,2.82,11.31304207,1.9,Solomon Islands,2400.0,1
3.565,7.00397413672268,19.0,5.22,7.486165162,34.7,Somalia,1100.0,1
1.315,9.495594499353297,30.1,2.31,13.79325008,64.2,South Africa,13300.0,2
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,South Georgia and the South Sandwich Islands,13800.0,0
5.862,7.3783837129967145,18.7,5.2,5.634770141,21.0,South Sudan,1600.0,1
0.018,10.434145214930487,46.3,1.29,17.83031082,16.5,Spain,34000.0,3
0.582,9.503084610020228,33.9,2.14,13.12815666,26.1,Sri Lanka,13400.0,0
0.023,8.216358332386156,19.1,4.54,8.620371878,35.6,Sudan,3700.0,1
0.909,9.60245002503719,31.6,1.91,10.95909977,30.5,Suriname,14800.0,2
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Svalbard and Jan Mayen,13800.0,0
0.561,10.911463720944793,41.0,1.67,18.99147034,24.5,Sweden,54800.0,3
0.62,9.53249633228804,44.0,1.59,16.66753006,9.1,Switzerland,13800.0,3
4.917,7.972810784121404,23.9,2.74,7.418754527,26.2,Syrian Arab Republic,2900.0,1
-0.453,10.774801838762809,44.0,1.09,13.33577728,16.5,"Taiwan, Province of China",47800.0,3
1.962,8.268988209506656,22.7,3.6,10.84980801,17.4,Tajikistan,3900.0,1
2.884,7.8636512654486515,18.9,4.33,8.585740089,4.6,"Tanzania, United Republic of",2600.0,1
-0.037,9.746892220313054,41.0,1.54,15.35883492,7.0,Thailand,17100.0,3
1.075,8.517393171418904,20.3,4.09,13.25306303,13.8,Timor-Leste,5000.0,1
2.323,7.650168700845001,20.5,4.18,13.09642387,9.7,Togo,2100.0,1
-0.418,8.716207971151853,25.4,2.7,17.78693018,11.1,Tonga,6100.0,0
0.376,10.043292972227004,38.0,1.63,14.23764336,12.7,Trinidad and Tobago,23000.0,3
0.653,9.249657234353133,34.0,1.96,14.67349856,38.3,Tunisia,10400.0,2
1.8,9.61587214452889,30.7,2.03,13.24057961,11.0,Turkmenistan,15000.0,0
0.745,9.825580063659602,35.9,1.7,13.33577728,16.5,Turks and Caicos Islands,18500.0,0
-1.803,8.497194544909547,27.5,2.81,12.37506862,20.6,Tuvalu,4900.0,0
0.232,10.357774570341576,33.6,1.91,19.8307991,24.3,Türkiye,31500.0,3
2.777,7.696667081526462,16.1,5.26,11.56404819,4.3,Uganda,2200.0,1
-1.546,9.278092474027002,45.3,1.22,13.32800961,16.5,Ukraine,10700.0,3
3.704,11.151969943847991,35.7,1.62,15.60159016,10.7,United Arab Emirates,69700.0,0
0.699,10.740756721857226,40.6,1.63,17.81106949,11.2,United Kingdom,46200.0,3
0.584,11.06195554002416,38.5,1.84,15.92300034,8.6,United States,63700.0,3
-0.036,10.034559673629849,36.2,1.75,17.4839592,32.9,Uruguay,22800.0,3
2.009,8.94910546953925,28.7,2.92,12.46086979,16.0,Uzbekistan,7700.0,0
2.295,7.937731775260109,24.2,2.59,11.81160992,5.4,Vanuatu,2800.0,1
0.354,8.949624747754216,30.8,2.2,12.96537654,14.9,"Venezuela, Bolivarian Republic of",7704.0,0
